complaint_hour,fraud_amount,fraud_type,victim_district,withdrawal_lat,withdrawal_lon,hours_to_withdrawal,risk_score,cluster_id
11,15000,NetBanking,Mangalore,12.9636,77.6935,1.06,15.0,4
14,20000,Debit,Bangalore,12.9752,77.61,1.79,20.0,0
20,5000,Debit,Mysore,12.9348,77.6401,1.01,25.0,1
16,100000,NetBanking,Mysore,12.975,77.5882,1.54,100.0,2
20,50000,NetBanking,Mysore,12.9725,77.5916,1.09,70.0,0
9,100000,Debit,Hubli,12.9725,77.5747,3.05,100.0,0
14,5000,UPI,Mysore,12.9694,77.5982,3.53,5.0,0
9,50000,Debit,Hubli,12.95,77.6193,3.83,50.0,1
11,100000,NetBanking,Mysore,12.9635,77.5896,0.71,100.0,0
15,15000,UPI,Mangalore,12.9444,77.6278,3.59,15.0,1
16,10000,Debit,Hubli,12.9547,77.7051,1.8,10.0,4
16,10000,UPI,Bangalore,12.961,77.7097,1.76,10.0,4
21,15000,Debit,Bangalore,12.9282,77.6212,1.8,35.0,1
10,15000,UPI,Mangalore,12.9973,77.5654,3.3,15.0,2
14,15000,UPI,Mysore,12.9746,77.5972,1.94,15.0,0
9,100000,Debit,Mysore,12.9101,77.6077,1.85,100.0,3
10,10000,CreditCard,Mysore,12.987,77.5758,2.45,10.0,2
10,10000,Debit,Mangalore,12.9682,77.5866,1.44,10.0,0
14,10000,UPI,Mysore,12.97,77.5986,2.18,10.0,0
11,20000,NetBanking,Mangalore,12.9289,77.6117,1.81,20.0,3
22,100000,CreditCard,Bangalore,12.9742,77.5939,3.36,100.0,0
14,5000,CreditCard,Mysore,12.982,77.5797,1.01,5.0,2
16,100000,NetBanking,Mangalore,13.0018,77.6046,1.85,100.0,2
11,15000,CreditCard,Mysore,12.9081,77.613,1.04,15.0,3
16,20000,UPI,Mysore,12.9713,77.5829,2.33,20.0,0
22,50000,UPI,Hubli,13.0126,77.5875,3.24,70.0,2
10,100000,CreditCard,Mysore,12.9795,77.5855,1.05,100.0,0
21,10000,Debit,Bangalore,12.9856,77.5806,2.3,30.0,0
11,100000,NetBanking,Hubli,12.9659,77.7219,1.6,100.0,4
15,15000,Debit,Hubli,12.9617,77.5889,2.49,15.0,0
22,10000,CreditCard,Mangalore,12.9726,77.5896,3.47,30.0,0
14,50000,Debit,Hubli,12.9197,77.6252,3.12,50.0,1
20,15000,NetBanking,Hubli,12.9494,77.7047,1.65,35.0,4
9,100000,CreditCard,Mysore,12.992,77.5955,3.27,100.0,2
21,20000,Debit,Bangalore,12.9022,77.6068,3.52,40.0,3
20,100000,Debit,Hubli,12.9797,77.5823,3.72,100.0,0
15,5000,NetBanking,Mangalore,12.9623,77.7131,1.72,5.0,4
16,100000,NetBanking,Hubli,12.8939,77.6118,0.95,100.0,3
9,100000,CreditCard,Bangalore,12.9742,77.6024,1.23,100.0,0
10,10000,Debit,Bangalore,12.9228,77.6113,3.79,10.0,1
15,50000,Debit,Hubli,13.0064,77.583,0.7,50.0,2
21,5000,CreditCard,Hubli,12.9125,77.6135,3.9,25.0,3
10,100000,CreditCard,Mysore,12.9284,77.6268,2.81,100.0,1
9,50000,Debit,Mangalore,13.0041,77.5729,2.09,50.0,2
21,20000,NetBanking,Mangalore,12.9539,77.6292,3.9,40.0,1
15,50000,CreditCard,Hubli,12.8981,77.6166,0.98,50.0,3
11,5000,Debit,Bangalore,12.9619,77.6025,0.91,5.0,0
11,15000,Debit,Bangalore,12.9832,77.5864,2.49,15.0,0
20,15000,NetBanking,Mangalore,12.9812,77.5987,1.07,35.0,0
11,20000,NetBanking,Bangalore,12.9434,77.6435,2.33,20.0,1
15,10000,UPI,Mangalore,12.9327,77.617,0.93,10.0,1
11,100000,UPI,Bangalore,12.9627,77.5864,3.24,100.0,0
10,10000,Debit,Mysore,12.9592,77.7034,3.36,10.0,4
9,100000,NetBanking,Hubli,13.004,77.5883,3.32,100.0,2
14,20000,NetBanking,Mysore,13.0013,77.5945,0.53,20.0,2
9,15000,UPI,Mysore,12.969,77.6218,1.81,15.0,0
11,50000,NetBanking,Mangalore,12.9415,77.6159,0.91,50.0,1
16,15000,CreditCard,Hubli,12.9245,77.6293,3.04,15.0,1
21,50000,Debit,Mysore,12.9694,77.6017,2.98,70.0,0
11,15000,NetBanking,Bangalore,12.9763,77.5939,1.59,15.0,0
10,50000,CreditCard,Bangalore,12.9631,77.5795,1.92,50.0,0
9,10000,NetBanking,Hubli,12.9307,77.6331,0.59,10.0,1
10,15000,CreditCard,Mangalore,12.9737,77.5821,0.5,15.0,0
22,50000,CreditCard,Mangalore,12.9617,77.7039,3.23,70.0,4
16,50000,CreditCard,Hubli,12.9264,77.626,3.74,50.0,1
9,20000,CreditCard,Hubli,13.0018,77.5686,2.41,20.0,2
21,20000,UPI,Mysore,12.9752,77.6002,1.61,40.0,0
10,15000,CreditCard,Bangalore,12.9824,77.6051,2.14,15.0,0
9,15000,UPI,Mangalore,12.9578,77.5852,1.75,15.0,0
22,100000,CreditCard,Bangalore,13.0064,77.5851,2.91,100.0,2
22,5000,NetBanking,Bangalore,12.9152,77.6485,0.83,25.0,3
16,15000,NetBanking,Hubli,13.0069,77.5914,1.83,15.0,2
20,100000,CreditCard,Mysore,12.9811,77.6011,3.81,100.0,0
22,5000,NetBanking,Bangalore,12.9068,77.6176,0.75,25.0,3
16,20000,NetBanking,Mysore,12.9639,77.5922,0.73,20.0,0
10,5000,NetBanking,Bangalore,12.9303,77.6253,2.49,5.0,1
21,5000,CreditCard,Bangalore,12.9947,77.5759,0.86,25.0,0
21,20000,UPI,Mangalore,13.0081,77.5639,1.86,40.0,2
16,20000,UPI,Mangalore,12.9669,77.6055,1.1,20.0,0
16,10000,CreditCard,Mysore,12.9722,77.5838,3.02,10.0,0
22,20000,Debit,Hubli,12.9528,77.7068,3.93,40.0,4
21,100000,CreditCard,Bangalore,12.9939,77.5822,0.69,100.0,2
14,100000,CreditCard,Bangalore,12.9721,77.5881,2.18,100.0,0
21,50000,UPI,Mysore,12.993,77.6009,0.76,70.0,0
11,15000,NetBanking,Mysore,12.9149,77.6264,2.9,15.0,1
21,100000,NetBanking,Mysore,12.9946,77.5885,1.26,100.0,2
16,20000,Debit,Mangalore,12.9521,77.6989,1.03,20.0,4
21,50000,Debit,Mangalore,12.965,77.7087,2.7,70.0,4
14,100000,CreditCard,Mysore,12.9596,77.5913,0.6,100.0,0
20,10000,Debit,Mangalore,12.9669,77.5881,0.61,30.0,0
14,20000,NetBanking,Mangalore,12.9893,77.5986,1.0,20.0,0
9,20000,NetBanking,Mysore,12.9886,77.5892,0.99,20.0,2
9,15000,NetBanking,Mysore,12.9564,77.6348,2.09,15.0,1
22,10000,Debit,Mangalore,12.9564,77.5898,3.49,30.0,0
20,15000,Debit,Mysore,12.9843,77.5875,1.52,35.0,0
11,20000,Debit,Bangalore,13.0056,77.5877,3.81,20.0,2
20,10000,UPI,Mysore,12.9259,77.6239,2.65,30.0,1
21,100000,UPI,Bangalore,12.9688,77.5698,0.89,100.0,2
20,5000,UPI,Bangalore,12.9327,77.612,3.39,25.0,1
21,5000,CreditCard,Mysore,13.0175,77.5657,0.53,25.0,2
20,50000,UPI,Hubli,12.9556,77.7013,0.55,70.0,4
11,15000,UPI,Hubli,13.0156,77.5656,2.45,15.0,2
14,100000,UPI,Hubli,12.9468,77.6246,3.7,100.0,1
21,10000,CreditCard,Bangalore,12.9618,77.5992,0.78,30.0,0
14,20000,CreditCard,Bangalore,12.9736,77.5886,1.86,20.0,0
16,10000,NetBanking,Mysore,13.0019,77.5761,1.38,10.0,2
14,5000,UPI,Mysore,13.0023,77.5866,0.92,5.0,2
21,10000,UPI,Hubli,12.9259,77.5976,1.88,30.0,3
21,100000,CreditCard,Mysore,12.9313,77.5905,1.59,100.0,3
14,10000,CreditCard,Hubli,12.9997,77.5859,1.49,10.0,2
11,10000,NetBanking,Hubli,12.938,77.6183,3.79,10.0,1
10,15000,UPI,Mangalore,12.9991,77.5751,3.63,15.0,2
9,5000,Debit,Hubli,12.9657,77.6031,2.89,5.0,0
20,50000,CreditCard,Bangalore,13.0048,77.5731,1.48,70.0,2
11,20000,CreditCard,Mangalore,13.0102,77.5831,0.89,20.0,2
9,10000,Debit,Mangalore,12.9797,77.6009,2.38,10.0,0
22,10000,UPI,Mysore,12.9633,77.589,1.46,30.0,0
16,50000,UPI,Mysore,13.0087,77.5861,3.67,50.0,2
14,50000,Debit,Bangalore,12.935,77.6257,0.77,50.0,1
10,10000,UPI,Mangalore,12.9844,77.5887,2.71,10.0,0
20,100000,CreditCard,Bangalore,12.9771,77.5926,3.5,100.0,0
14,5000,UPI,Bangalore,12.999,77.591,1.54,5.0,2
22,20000,Debit,Mangalore,13.0095,77.5881,3.65,40.0,2
9,50000,UPI,Hubli,12.9731,77.7002,1.15,50.0,4
14,5000,UPI,Bangalore,12.9784,77.5915,1.02,5.0,0
20,5000,NetBanking,Mysore,12.9384,77.6232,0.66,25.0,1
9,100000,NetBanking,Bangalore,12.961,77.706,0.69,100.0,4
20,100000,UPI,Mysore,12.9518,77.7209,1.23,100.0,4
14,100000,NetBanking,Mysore,12.9251,77.6124,2.47,100.0,1
22,50000,UPI,Hubli,13.0128,77.5879,1.97,70.0,2
14,10000,Debit,Hubli,12.9414,77.6308,2.97,10.0,1
10,5000,UPI,Mangalore,12.9599,77.691,2.41,5.0,4
14,50000,NetBanking,Bangalore,12.9724,77.5878,0.76,50.0,0
22,15000,UPI,Mangalore,12.9814,77.5931,3.2,35.0,0
15,20000,NetBanking,Mysore,12.9517,77.6968,2.96,20.0,4
11,15000,UPI,Mangalore,13.0053,77.5744,3.19,15.0,2
20,20000,Debit,Mangalore,12.927,77.6269,3.64,40.0,1
11,100000,Debit,Bangalore,13.0036,77.5749,1.99,100.0,2
9,15000,CreditCard,Mangalore,12.9305,77.6268,1.37,15.0,1
20,100000,CreditCard,Mysore,12.9455,77.6859,2.39,100.0,4
14,50000,UPI,Bangalore,12.9528,77.6979,1.95,50.0,4
16,20000,UPI,Hubli,12.9747,77.6094,3.45,20.0,0
15,5000,NetBanking,Hubli,12.9802,77.593,2.86,5.0,0
20,50000,UPI,Mangalore,13.001,77.57,3.31,70.0,2
16,15000,UPI,Mangalore,13.001,77.5771,2.03,15.0,2
9,15000,Debit,Hubli,13.0044,77.5717,1.67,15.0,2
9,15000,NetBanking,Bangalore,13.0064,77.5953,3.83,15.0,2
16,20000,Debit,Mysore,12.9589,77.704,0.77,20.0,4
10,20000,Debit,Mysore,12.9785,77.5906,3.43,20.0,0
15,10000,UPI,Bangalore,12.9622,77.7001,2.32,10.0,4
20,50000,Debit,Hubli,12.9726,77.5869,3.4,70.0,0
16,50000,NetBanking,Mangalore,12.9718,77.5996,3.45,50.0,0
14,100000,CreditCard,Mangalore,12.9861,77.6042,1.0,100.0,0
14,5000,NetBanking,Bangalore,12.9567,77.6168,3.38,5.0,1
10,50000,Debit,Hubli,12.9803,77.5964,1.06,50.0,0
16,5000,NetBanking,Mysore,12.9571,77.6164,2.81,5.0,1
11,5000,Debit,Bangalore,12.9928,77.574,1.31,5.0,2
20,50000,Debit,Hubli,12.8888,77.6047,3.46,70.0,3
14,5000,CreditCard,Mysore,12.9276,77.626,2.31,5.0,1
15,20000,UPI,Mysore,12.9134,77.6288,2.71,20.0,3
10,50000,Debit,Bangalore,12.9811,77.5888,3.26,50.0,0
20,10000,CreditCard,Mysore,12.9626,77.5995,1.89,30.0,0
20,100000,UPI,Hubli,12.9468,77.7183,2.84,100.0,4
9,20000,Debit,Bangalore,12.947,77.6198,2.76,20.0,1
11,20000,UPI,Bangalore,12.9181,77.638,0.58,20.0,1
14,20000,NetBanking,Mysore,13.0001,77.5924,3.59,20.0,2
15,20000,UPI,Hubli,12.9557,77.5886,3.57,20.0,0
22,50000,UPI,Mangalore,12.9101,77.6105,2.82,70.0,3
10,5000,CreditCard,Hubli,12.9307,77.6307,3.36,5.0,1
15,5000,Debit,Bangalore,12.9245,77.6231,3.31,5.0,1
21,50000,UPI,Bangalore,12.9728,77.5997,2.82,70.0,0
9,10000,NetBanking,Mysore,12.9787,77.5834,3.21,10.0,0
20,5000,NetBanking,Bangalore,12.9563,77.6074,3.45,25.0,0
22,10000,Debit,Mysore,13.0045,77.5725,1.35,30.0,2
10,5000,NetBanking,Bangalore,12.9507,77.6257,2.01,5.0,1
10,5000,NetBanking,Mangalore,12.947,77.6252,2.16,5.0,1
16,15000,UPI,Bangalore,13.0218,77.5976,1.09,15.0,2
21,20000,CreditCard,Mysore,12.9987,77.5897,1.33,40.0,2
9,20000,CreditCard,Bangalore,13.0077,77.5937,3.57,20.0,2
20,100000,Debit,Mangalore,12.962,77.6015,3.22,100.0,0
9,10000,CreditCard,Bangalore,12.9822,77.577,2.27,10.0,0
16,15000,NetBanking,Hubli,12.9598,77.5742,1.19,15.0,0
16,100000,CreditCard,Mysore,12.9325,77.6317,3.93,100.0,1
16,10000,Debit,Mangalore,12.9866,77.5953,0.81,10.0,0
14,15000,NetBanking,Hubli,12.9879,77.5808,0.99,15.0,0
22,50000,CreditCard,Mysore,12.9842,77.5794,1.9,70.0,2
22,20000,Debit,Bangalore,12.9754,77.5943,2.92,40.0,0
10,50000,UPI,Bangalore,12.9145,77.6236,3.37,50.0,1
15,5000,UPI,Hubli,12.9222,77.6312,3.25,5.0,1
9,100000,UPI,Hubli,12.9389,77.6151,2.86,100.0,1
10,15000,NetBanking,Hubli,12.9301,77.6139,3.97,15.0,1
9,100000,Debit,Mysore,12.9346,77.6341,2.12,100.0,1
11,10000,Debit,Mangalore,12.9001,77.615,3.26,10.0,3
10,100000,UPI,Hubli,12.9299,77.6166,2.71,100.0,1
21,5000,UPI,Hubli,12.9589,77.6896,0.92,25.0,4
15,15000,NetBanking,Mangalore,12.9661,77.5826,3.45,15.0,0
20,10000,NetBanking,Bangalore,12.9296,77.6104,1.13,30.0,3
22,50000,Debit,Hubli,12.9282,77.6266,2.98,70.0,1
22,20000,Debit,Hubli,12.9341,77.6223,3.08,40.0,1
11,15000,NetBanking,Mangalore,12.9161,77.6176,1.23,15.0,3
11,15000,CreditCard,Mysore,12.9959,77.5742,3.19,15.0,2
16,50000,Debit,Bangalore,12.9688,77.5716,3.16,50.0,0
14,5000,NetBanking,Mysore,12.9564,77.6083,1.79,5.0,0
22,100000,NetBanking,Bangalore,12.988,77.5921,2.95,100.0,0
20,20000,NetBanking,Bangalore,12.9774,77.5977,3.29,40.0,0
14,15000,Debit,Mysore,12.966,77.6357,3.55,15.0,1
14,100000,NetBanking,Mysore,12.9703,77.585,1.85,100.0,0
11,100000,CreditCard,Mysore,12.8939,77.612,1.42,100.0,3
15,15000,CreditCard,Hubli,12.9936,77.5658,1.93,15.0,2
10,5000,UPI,Mangalore,12.9035,77.5992,2.45,5.0,3
16,15000,NetBanking,Mysore,13.0181,77.5888,0.72,15.0,2
22,50000,NetBanking,Bangalore,13.0011,77.5948,2.73,70.0,2
9,20000,NetBanking,Hubli,12.9608,77.6914,3.48,20.0,4
16,100000,CreditCard,Mysore,13.0164,77.5854,1.28,100.0,2
22,20000,UPI,Mysore,12.9908,77.5781,2.22,40.0,2
10,15000,CreditCard,Bangalore,12.9924,77.5662,3.86,15.0,2
20,100000,Debit,Hubli,13.0105,77.5991,2.57,100.0,2
22,5000,UPI,Mysore,12.9576,77.6002,0.58,25.0,0
15,20000,NetBanking,Bangalore,12.9947,77.5751,3.93,20.0,2
21,10000,Debit,Mysore,12.9657,77.586,2.62,30.0,0
9,5000,CreditCard,Mangalore,12.9105,77.6017,1.83,5.0,3
14,50000,Debit,Bangalore,12.9379,77.624,2.16,50.0,1
20,10000,UPI,Bangalore,12.9328,77.6154,1.05,30.0,1
10,10000,NetBanking,Bangalore,12.9658,77.6022,1.15,10.0,0
20,15000,UPI,Bangalore,12.9766,77.5848,3.63,35.0,0
14,20000,NetBanking,Hubli,12.9726,77.6021,2.35,20.0,0
15,10000,UPI,Mysore,12.9845,77.5854,2.5,10.0,2
22,5000,Debit,Hubli,12.9946,77.5857,1.6,25.0,2
20,5000,Debit,Hubli,12.9936,77.562,1.08,25.0,2
21,50000,Debit,Mangalore,12.9437,77.7005,3.4,70.0,4
21,15000,CreditCard,Mysore,13.0038,77.571,2.2,35.0,2
20,5000,Debit,Mangalore,12.978,77.578,2.07,25.0,0
11,20000,CreditCard,Mangalore,13.0005,77.5679,2.05,20.0,2
11,50000,Debit,Bangalore,12.9535,77.7005,3.1,50.0,4
15,10000,CreditCard,Mangalore,12.963,77.5908,2.29,10.0,0
15,20000,Debit,Mysore,12.9453,77.6187,0.66,20.0,1
14,100000,Debit,Hubli,13.0096,77.5687,2.24,100.0,2
16,15000,Debit,Mysore,12.9769,77.609,3.76,15.0,0
10,50000,UPI,Bangalore,12.9353,77.692,2.07,50.0,4
16,5000,UPI,Mysore,12.941,77.6225,2.94,5.0,1
22,20000,UPI,Bangalore,12.9137,77.604,1.14,40.0,3
11,15000,CreditCard,Hubli,13.0021,77.5784,1.77,15.0,2
22,50000,CreditCard,Mangalore,13.0129,77.5825,3.05,70.0,2
10,100000,NetBanking,Hubli,12.975,77.5905,2.72,100.0,0
16,5000,CreditCard,Mysore,12.9051,77.6057,1.96,5.0,3
16,5000,NetBanking,Mysore,12.9755,77.5904,3.38,5.0,0
20,50000,UPI,Mysore,13.0041,77.6008,1.01,70.0,2
9,15000,Debit,Mangalore,13.0099,77.5767,2.03,15.0,2
20,10000,UPI,Hubli,12.972,77.6959,2.49,30.0,4
10,50000,CreditCard,Bangalore,12.9512,77.5845,3.29,50.0,0
11,5000,CreditCard,Mangalore,12.9825,77.5765,0.92,5.0,2
14,20000,CreditCard,Hubli,12.9718,77.6114,2.4,20.0,0
11,5000,CreditCard,Hubli,13.0045,77.5778,2.83,5.0,2
9,100000,CreditCard,Hubli,12.9799,77.5725,1.45,100.0,0
21,100000,NetBanking,Bangalore,13.0036,77.5877,0.72,100.0,2
21,20000,CreditCard,Mysore,12.9568,77.606,3.71,40.0,0
16,15000,NetBanking,Hubli,12.975,77.5904,0.84,15.0,0
20,15000,Debit,Bangalore,12.9415,77.6472,2.2,35.0,1
22,15000,NetBanking,Mysore,12.9734,77.5971,3.69,35.0,0
9,15000,Debit,Bangalore,12.967,77.5861,2.24,15.0,0
20,10000,Debit,Bangalore,12.9183,77.6014,2.0,30.0,3
11,10000,UPI,Hubli,12.9359,77.6197,2.26,10.0,1
22,100000,Debit,Mangalore,12.9764,77.5979,1.57,100.0,0
16,50000,CreditCard,Hubli,12.9456,77.6194,1.05,50.0,1
21,15000,NetBanking,Bangalore,12.9073,77.6002,3.27,35.0,3
22,100000,UPI,Mysore,12.9672,77.5984,2.36,100.0,0
9,20000,NetBanking,Hubli,12.9792,77.5854,1.44,20.0,0
21,100000,CreditCard,Mangalore,13.0099,77.5936,1.13,100.0,2
14,20000,NetBanking,Mysore,12.9757,77.6134,1.65,20.0,0
20,10000,NetBanking,Bangalore,12.9639,77.5822,1.54,30.0,0
11,100000,CreditCard,Hubli,12.9174,77.6395,0.68,100.0,1
14,100000,NetBanking,Mangalore,12.9417,77.6239,3.33,100.0,1
14,5000,CreditCard,Mysore,12.9128,77.5987,3.52,5.0,3
10,5000,UPI,Mangalore,12.9961,77.5959,2.05,5.0,0
20,5000,CreditCard,Bangalore,12.9727,77.6019,1.54,25.0,0
22,20000,CreditCard,Bangalore,12.94,77.6267,1.85,40.0,1
21,20000,UPI,Mangalore,12.9933,77.5847,2.1,40.0,2
11,50000,Debit,Mysore,12.9788,77.7135,0.51,50.0,4
16,10000,Debit,Mysore,12.9875,77.5895,1.68,10.0,0
10,20000,NetBanking,Mangalore,12.9253,77.6232,1.57,20.0,1
16,10000,UPI,Mangalore,12.9106,77.6209,3.43,10.0,3
21,5000,UPI,Bangalore,12.9843,77.5953,2.95,25.0,2
22,20000,CreditCard,Hubli,12.9584,77.6957,1.15,40.0,4
14,15000,UPI,Mysore,12.8999,77.5935,1.13,15.0,3
11,15000,UPI,Bangalore,12.9682,77.7007,0.88,15.0,4
9,15000,UPI,Mangalore,12.9587,77.5816,3.94,15.0,0
21,100000,CreditCard,Mysore,12.9566,77.7167,1.73,100.0,4
14,20000,Debit,Mangalore,12.9986,77.565,1.01,20.0,2
14,5000,Debit,Mangalore,12.9075,77.6073,0.55,5.0,3
22,50000,Debit,Hubli,12.9742,77.5795,3.38,70.0,2
20,50000,Debit,Mysore,12.9693,77.6016,1.7,70.0,0
10,10000,NetBanking,Bangalore,13.0197,77.5913,2.38,10.0,2
20,20000,UPI,Bangalore,12.9985,77.5689,3.83,40.0,2
10,5000,Debit,Bangalore,12.9609,77.6251,3.97,5.0,1
16,100000,UPI,Hubli,12.9353,77.6243,1.67,100.0,1
10,15000,UPI,Mysore,12.962,77.6986,1.37,15.0,4
10,5000,CreditCard,Mangalore,12.9659,77.5891,1.72,5.0,0
10,50000,NetBanking,Bangalore,13.0009,77.5746,1.81,50.0,2
9,5000,Debit,Mangalore,12.9941,77.5811,2.49,5.0,2
15,15000,NetBanking,Hubli,12.9327,77.6395,3.22,15.0,1
15,5000,UPI,Hubli,12.9451,77.6055,2.89,5.0,0
22,10000,UPI,Hubli,12.9841,77.5739,2.25,30.0,0
9,20000,CreditCard,Mysore,12.9682,77.5909,3.33,20.0,0
14,5000,NetBanking,Mangalore,12.9575,77.5868,3.38,5.0,0
16,15000,UPI,Hubli,12.8989,77.6275,3.81,15.0,3
10,50000,Debit,Mangalore,12.9194,77.6227,0.57,50.0,3
15,50000,Debit,Mangalore,12.9788,77.5833,3.67,50.0,0
21,5000,NetBanking,Mangalore,12.9664,77.5995,3.47,25.0,0
20,20000,UPI,Bangalore,12.923,77.6316,2.32,40.0,1
9,100000,Debit,Mangalore,12.9328,77.6208,3.99,100.0,1
22,20000,Debit,Mangalore,12.9171,77.6144,0.99,40.0,3
22,15000,UPI,Mysore,12.968,77.6062,1.73,35.0,0
20,100000,CreditCard,Bangalore,12.9244,77.6307,2.36,100.0,1
22,20000,UPI,Mangalore,12.9659,77.6969,2.86,40.0,4
14,20000,UPI,Bangalore,12.9749,77.5821,3.36,20.0,0
21,10000,CreditCard,Hubli,12.9808,77.5928,0.73,30.0,0
9,5000,NetBanking,Bangalore,12.9664,77.6051,1.3,5.0,0
21,20000,NetBanking,Bangalore,12.9282,77.6104,1.58,40.0,1
16,5000,NetBanking,Mangalore,12.9856,77.5861,1.16,5.0,2
16,10000,UPI,Mangalore,12.8972,77.6275,2.63,10.0,3
10,5000,UPI,Bangalore,12.9508,77.6116,3.11,5.0,0
20,5000,Debit,Hubli,12.9737,77.5936,1.61,25.0,0
16,50000,NetBanking,Hubli,12.9662,77.5986,3.51,50.0,0
16,10000,NetBanking,Mangalore,12.9712,77.6056,1.85,10.0,0
21,10000,UPI,Mysore,12.9727,77.5961,3.83,30.0,0
22,10000,NetBanking,Mangalore,12.968,77.594,1.14,30.0,0
15,100000,Debit,Hubli,12.9131,77.5929,1.49,100.0,3
11,10000,CreditCard,Mangalore,12.9581,77.602,0.69,10.0,0
16,100000,UPI,Mangalore,12.9369,77.6227,1.39,100.0,1
10,15000,UPI,Hubli,12.9602,77.7035,3.36,15.0,4
14,15000,Debit,Bangalore,12.9546,77.6922,1.22,15.0,4
21,100000,CreditCard,Mangalore,12.9372,77.6147,2.15,100.0,1
22,5000,CreditCard,Hubli,12.9757,77.5776,3.91,25.0,0
16,100000,UPI,Hubli,12.9819,77.5993,1.22,100.0,0
10,20000,UPI,Hubli,12.9742,77.6044,0.63,20.0,0
10,5000,Debit,Mysore,12.9883,77.6047,0.57,5.0,0
11,10000,UPI,Bangalore,12.9532,77.5818,1.71,10.0,0
11,10000,CreditCard,Hubli,12.9538,77.7003,0.82,10.0,4
14,50000,Debit,Mangalore,12.9404,77.6172,3.71,50.0,1
22,100000,UPI,Mysore,12.9371,77.6169,3.84,100.0,1
22,50000,CreditCard,Mysore,12.9655,77.5805,3.38,70.0,0
10,50000,CreditCard,Mangalore,12.9624,77.5811,0.84,50.0,0
14,10000,NetBanking,Hubli,12.9618,77.6051,0.89,10.0,0
9,10000,NetBanking,Mysore,12.9257,77.6508,1.38,10.0,1
15,20000,CreditCard,Mangalore,12.9401,77.6263,1.73,20.0,1
11,5000,UPI,Bangalore,12.9014,77.617,3.34,5.0,3
20,20000,Debit,Bangalore,12.9954,77.5812,2.22,40.0,2
14,10000,CreditCard,Hubli,12.9608,77.6235,2.21,10.0,1
22,5000,Debit,Hubli,13.0127,77.573,1.18,25.0,2
14,10000,UPI,Mysore,13.0009,77.5977,2.47,10.0,2
22,50000,Debit,Mysore,12.9653,77.6127,1.95,70.0,0
14,20000,CreditCard,Hubli,13.0083,77.5744,3.11,20.0,2
10,50000,Debit,Mysore,12.9779,77.6043,0.87,50.0,0
21,10000,Debit,Bangalore,12.9778,77.5789,3.5,30.0,0
15,5000,NetBanking,Bangalore,12.9939,77.5775,3.54,5.0,2
20,10000,UPI,Bangalore,12.9709,77.6008,2.42,30.0,0
11,10000,NetBanking,Bangalore,12.9734,77.5812,0.98,10.0,0
22,5000,Debit,Mysore,13.005,77.5861,0.61,25.0,2
16,20000,Debit,Hubli,12.9656,77.7108,2.01,20.0,4
